impl,elements,procs,threads,median_ms,scatter_ms,localsort_ms,pivots_ms,exchange_ms,merge_ms,gather_ms,checksum,device,local_ws,run,command
mpi+ocl,1000000,4,1,51.896,0.570,49.303,0.018,0.506,1.133,0.366,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,4,1,52.111,0.638,49.374,0.016,0.623,1.169,0.291,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,8,1,43.824,0.673,40.379,0.074,1.405,0.944,0.349,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,8,1,43.453,0.653,39.752,0.151,1.545,0.990,0.362,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,8,1,44.901,0.690,41.346,0.036,1.359,1.096,0.373,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,16,1,170.827,1.606,165.016,0.307,2.235,0.652,1.012,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,16,1,37.509,1.879,31.512,0.213,2.551,0.652,0.703,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,16,1,40.951,1.576,34.968,0.330,2.354,0.667,1.056,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 1000000 --runs 1
seq,4000000,1,1,194.329,,,,,,,8587847744702102,cpu native,,1,./quicksort_sequential --n 4000000 --runs 1
seq,4000000,1,1,194.324,,,,,,,8587847744702102,cpu native,,2,./quicksort_sequential --n 4000000 --runs 1
seq,4000000,1,1,189.243,,,,,,,8587847744702102,cpu native,,3,./quicksort_sequential --n 4000000 --runs 1
omp,4000000,1,8,52.085,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_openmp  --n 4000000 --threads 8 --runs 1
threads,4000000,1,8,86.268,,,,,,,8587847744702102,cpu native,,1,./quicksort_parallel_threads --n 4000000 --threads 8 --runs 1
omp,4000000,1,8,51.531,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_openmp  --n 4000000 --threads 8 --runs 1
threads,4000000,1,8,85.042,,,,,,,8587847744702102,cpu native,,2,./quicksort_parallel_threads --n 4000000 --threads 8 --runs 1
omp,4000000,1,8,52.301,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_openmp  --n 4000000 --threads 8 --runs 1
threads,4000000,1,8,89.056,,,,,,,8587847744702102,cpu native,,3,./quicksort_parallel_threads --n 4000000 --threads 8 --runs 1
