version,N,procs,threads,generate_us,distribute_us,compute_us,gather_us,seconds,checksum,verify,run,command
mpi+omp,100,4,8,362,722,17636,270,0.018630,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi_omp 100 8"
mpi+omp,100,4,8,226,647,6523,953,0.008124,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi_omp 100 8"
mpi+omp,100,8,1,235,1468,102,20,0.001592,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi_omp 100 1"
mpi+omp,100,8,1,338,1109,103,56,0.001270,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi_omp 100 1"
mpi+omp,100,8,1,223,1196,101,17,0.001316,2472987609,ok,3,"mpirun -np 8 ./matrix_mpi_omp 100 1"
mpi+omp,100,8,2,232,1629,9100,46,0.010776,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi_omp 100 2"
mpi+omp,100,8,2,334,773,3769,23,0.004566,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi_omp 100 2"
mpi+omp,100,8,2,225,990,10326,45,0.011363,2472987609,ok,3,"mpirun -np 8 ./matrix_mpi_omp 100 2"
mpi+omp,100,8,4,238,1145,11898,160,0.013204,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi_omp 100 4"
mpi+omp,100,8,4,341,2417,19104,3931,0.025453,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi_omp 100 4"
mpi+omp,100,8,4,396,2779,7267,89,0.010137,2472987609,ok,3,"mpirun -np 8 ./matrix_mpi_omp 100 4"
mpi+omp,100,8,8,339,2229,40450,1626,0.044306,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi_omp 100 8"
mpi+omp,100,8,8,374,1281,28128,55,0.029465,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi_omp 100 8"
mpi+omp,100,8,8,227,875,29375,1797,0.032048,2472987609,ok,3,"mpirun -np 8 ./matrix_mpi_omp 100 8"
mpi+omp,100,16,1,228,1419,219,479,0.002118,2472987609,ok,1,"mpirun -np 16 ./matrix_mpi_omp 100 1"
mpi+omp,100,16,1,346,2548,839,1381,0.004769,2472987609,ok,2,"mpirun -np 16 ./matrix_mpi_omp 100 1"
mpi+omp,100,16,1,229,3173,778,1283,0.005235,2472987609,ok,3,"mpirun -np 16 ./matrix_mpi_omp 100 1"
mpi+omp,100,16,2,328,1560,5329,743,0.007634,2472987609,ok,1,"mpirun -np 16 ./matrix_mpi_omp 100 2"
mpi+omp,100,16,2,329,2732,6757,548,0.010039,2472987609,ok,2,"mpirun -np 16 ./matrix_mpi_omp 100 2"
mpi+omp,100,16,2,285,2391,16873,1729,0.020994,2472987609,ok,3,"mpirun -np 16 ./matrix_mpi_omp 100 2"
mpi+omp,100,16,4,227,2576,26591,2700,0.031869,2472987609,ok,1,"mpirun -np 16 ./matrix_mpi_omp 100 4"
mpi+omp,100,16,4,328,1747,28833,4027,0.034608,2472987609,ok,2,"mpirun -np 16 ./matrix_mpi_omp 100 4"
mpi+omp,100,16,4,452,2560,22600,5156,0.030318,2472987609,ok,3,"mpirun -np 16 ./matrix_mpi_omp 100 4"
mpi+omp,100,16,8,228,2453,48062,9082,0.059599,2472987609,ok,1,"mpirun -np 16 ./matrix_mpi_omp 100 8"
mpi+omp,100,16,8,457,1652,56355,7974,0.065983,2472987609,ok,2,"mpirun -np 16 ./matrix_mpi_omp 100 8"
mpi+omp,100,16,8,428,3269,48189,11625,0.063085,2472987609,ok,3,"mpirun -np 16 ./matrix_mpi_omp 100 8"
mpi+ocl,100,1,32,231,16,1167,12,0.001196,2472987609,ok,1,"mpirun -np 1 ./matrix_mpi_ocl 100"
mpi+ocl,100,1,32,318,36,609,23,0.000668,2472987609,ok,2,"mpirun -np 1 ./matrix_mpi_ocl 100"
mpi+ocl,100,1,32,223,17,682,15,0.000715,2472987609,ok,3,"mpirun -np 1 ./matrix_mpi_ocl 100"
mpi+ocl,100,2,32,250,469,626,221,0.001317,2472987609,ok,1,"mpirun -np 2 ./matrix_mpi_ocl 100"
mpi+ocl,100,2,32,268,584,1080,214,0.001880,2472987609,ok,2,"mpirun -np 2 ./matrix_mpi_ocl 100"
mpi+ocl,100,2,32,285,322,1018,305,0.001646,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi_ocl 100"
mpi+ocl,100,4,32,337,779,188006,255,0.189042,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi_ocl 100"
mpi+ocl,100,4,32,231,627,997,253,0.001879,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi_ocl 100"
mpi+ocl,100,4,32,260,581,1166,257,0.002007,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi_ocl 100"
mpi+ocl,100,8,32,240,740,223557,59,0.224357,2472987609,ok,1,"mpirun -np 8 ./matrix_mpi_ocl 100"
mpi+ocl,100,8,32,270,656,1292,26,0.001976,2472987609,ok,2,"mpirun -np 8 ./matrix_mpi_ocl 100"
mpi+ocl,100,8,32,379,964,1140,51,0.002156,2472987609,ok,3,"mpirun -np 8 ./matrix_mpi_ocl 100"
mpi+ocl,100,16,32,397,2582,166261,427,0.169271,2472987609,ok,1,"mpirun -np 16 ./matrix_mpi_ocl 100"
mpi+ocl,100,16,32,327,1863,4722,533,0.007120,2472987609,ok,2,"mpirun -np 16 ./matrix_mpi_ocl 100"
mpi+ocl,100,16,32,333,1469,5547,494,0.007512,2472987609,ok,3,"mpirun -np 16 ./matrix_mpi_ocl 100"
sequential,500,1,1,,,,,0.037964,305642569841,checksum-only,1,"./matrix_seq 500"
sequential,500,1,1,,,,,0.036071,305642569841,checksum-only,2,"./matrix_seq 500"
sequential,500,1,1,,,,,0.036018,305642569841,checksum-only,3,"./matrix_seq 500"
openmp,500,1,1,,,,,0.039330,305642569841,checksum-only,1,"./matrix_omp 500 1"
openmp,500,1,1,,,,,0.040186,305642569841,checksum-only,2,"./matrix_omp 500 1"
openmp,500,1,1,,,,,0.039056,305642569841,checksum-only,3,"./matrix_omp 500 1"
openmp,500,1,2,,,,,0.022154,305642569841,checksum-only,1,"./matrix_omp 500 2"
openmp,500,1,2,,,,,0.019301,305642569841,checksum-only,2,"./matrix_omp 500 2"
openmp,500,1,2,,,,,0.019552,305642569841,checksum-only,3,"./matrix_omp 500 2"
openmp,500,1,4,,,,,0.010000,305642569841,checksum-only,1,"./matrix_omp 500 4"
openmp,500,1,4,,,,,0.010048,305642569841,checksum-only,2,"./matrix_omp 500 4"
openmp,500,1,4,,,,,0.009972,305642569841,checksum-only,3,"./matrix_omp 500 4"
openmp,500,1,8,,,,,0.011714,305642569841,checksum-only,1,"./matrix_omp 500 8"
openmp,500,1,8,,,,,0.008532,305642569841,checksum-only,2,"./matrix_omp 500 8"
openmp,500,1,8,,,,,0.008589,305642569841,checksum-only,3,"./matrix_omp 500 8"
openmp,500,1,16,,,,,0.006629,305642569841,checksum-only,1,"./matrix_omp 500 16"
openmp,500,1,16,,,,,0.007802,305642569841,checksum-only,2,"./matrix_omp 500 16"
openmp,500,1,16,,,,,0.007584,305642569841,checksum-only,3,"./matrix_omp 500 16"
openmp,500,1,32,,,,,0.006156,305642569841,checksum-only,1,"./matrix_omp 500 32"
openmp,500,1,32,,,,,0.004237,305642569841,checksum-only,2,"./matrix_omp 500 32"
openmp,500,1,32,,,,,0.017982,305642569841,checksum-only,3,"./matrix_omp 500 32"
mpi,500,1,1,5734,285,39865,135,0.040286,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi 500"
mpi,500,1,1,5731,310,41949,108,0.042369,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi 500"
mpi,500,1,1,5849,293,40435,103,0.040833,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi 500"
mpi,500,2,1,7217,861,23761,468,0.025092,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi 500"
mpi,500,2,1,5566,739,20526,506,0.021773,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi 500"
mpi,500,2,1,5612,781,21499,416,0.022697,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi 500"
mpi,500,4,1,5630,1017,12123,370,0.013512,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi 500"
mpi,500,4,1,7515,1669,13843,414,0.015927,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi 500"
mpi,500,4,1,6374,1424,10244,528,0.012198,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi 500"
mpi,500,8,1,6570,2125,8116,367,0.010610,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi 500"
mpi,500,8,1,5759,1855,8472,274,0.010602,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi 500"
mpi,500,8,1,7798,3025,9038,193,0.012258,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi 500"
mpi,500,16,1,8245,3481,7000,481,0.010964,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi 500"
mpi,500,16,1,6075,3471,6561,238,0.010271,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi 500"
mpi,500,16,1,7254,3839,6547,257,0.010645,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi 500"
mpi+omp,500,1,1,5621,334,40893,102,0.041331,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi_omp 500 1"
mpi+omp,500,1,1,5618,270,44586,113,0.044970,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi_omp 500 1"
mpi+omp,500,1,1,5838,269,44100,112,0.044482,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi_omp 500 1"
mpi+omp,500,1,2,7898,498,21797,103,0.022400,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi_omp 500 2"
mpi+omp,500,1,2,6065,302,24643,109,0.025054,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi_omp 500 2"
