experiment,workload,rows,impl,procs,reducers,partition,combiner,keys,shuffle_entries,remote_entries,entry_imbalance,time_imbalance,map_ms,plan_ms,shuffle_ms,reduce_ms,gather_ms,total_ms,checksum,run,command
reducers,large,60480000,mr,16,8,weighted,on,5040000,5050825,4734686,1.0018,1.1625,167.149,2.452,15.907,21.107,0.411,207.026,9710425931372569117,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 8 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,16,weighted,on,5040000,5050825,10825,1.0027,1.1776,157.243,2.154,13.812,9.965,0.370,183.543,9710425931372569117,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 16 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,16,weighted,on,5040000,5050825,10825,1.0027,1.1222,172.310,2.322,15.020,9.826,0.327,199.806,9710425931372569117,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 16 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,16,weighted,on,5040000,5050825,10825,1.0027,1.1891,161.449,2.290,15.598,9.847,0.432,189.616,9710425931372569117,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 16 --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,block,on,1680000,1687131,7131,1.0053,1.2363,67.055,0.725,4.472,3.393,0.302,75.948,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition block --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,block,on,1680000,1687131,7131,1.0053,1.1898,66.149,0.547,4.424,3.544,0.310,74.975,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition block --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,block,on,1680000,1687131,7131,1.0053,1.1889,68.961,0.572,3.941,3.147,0.237,76.857,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition block --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hash,on,1680000,1687131,1600131,1.1001,1.2107,66.797,0.499,6.241,4.080,0.437,78.054,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hash --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hash,on,1680000,1687131,1600131,1.1001,1.2811,66.941,0.503,5.890,4.010,0.521,77.864,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hash --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hash,on,1680000,1687131,1600131,1.1001,1.1990,65.967,0.337,6.354,3.935,0.372,76.965,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hash --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,weighted,on,1680000,1687131,7131,1.0053,1.2362,60.286,1.148,3.930,3.231,0.234,68.830,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition weighted --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,weighted,on,1680000,1687131,7131,1.0053,1.2151,58.070,1.201,3.668,3.198,0.312,66.449,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition weighted --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,weighted,on,1680000,1687131,7131,1.0053,1.2083,60.753,1.188,4.087,3.288,0.330,69.645,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition weighted --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,light,on,1680000,1687131,1582125,1.0052,1.1540,63.854,0.464,6.706,4.154,8.469,83.647,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition light --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,light,on,1680000,1687131,1582125,1.0052,1.2297,65.905,0.824,6.340,3.911,6.401,83.381,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition light --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,light,on,1680000,1687131,1582125,1.0052,1.1365,67.262,0.401,6.496,3.941,7.967,86.067,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition light --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hybrid,on,1680000,1687131,7131,1.0053,1.1453,66.656,1.204,4.057,3.056,0.299,75.273,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hybrid --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hybrid,on,1680000,1687131,7131,1.0053,1.1457,63.830,0.978,3.831,3.060,0.236,71.935,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hybrid --print-hours 0 --verify --csv"
order,medium,20160000,mr,16,16,hybrid,on,1680000,1687131,7131,1.0053,1.1379,65.565,1.207,4.097,3.240,0.357,74.467,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition hybrid --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,block,on,1680000,14312537,13417213,1.0020,1.1635,243.664,0.769,47.875,54.097,0.240,346.646,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition block --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,block,on,1680000,14312537,13417213,1.0020,1.1329,241.602,0.872,50.349,51.833,0.285,344.941,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition block --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,block,on,1680000,14312537,13417213,1.0020,1.2363,228.205,0.541,42.179,58.100,0.304,329.329,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition block --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hash,on,1680000,14312537,13418226,1.1058,1.1580,219.019,0.517,46.206,51.437,0.455,317.633,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hash --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hash,on,1680000,14312537,13418226,1.1058,1.1957,240.543,0.578,44.149,54.675,0.407,340.352,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hash --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hash,on,1680000,14312537,13418226,1.1058,1.2273,245.837,0.603,49.916,58.679,0.512,355.546,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hash --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,weighted,on,1680000,14312537,13417213,1.0020,1.1538,237.861,5.008,46.886,53.763,0.289,343.807,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition weighted --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,weighted,on,1680000,14312537,13417213,1.0020,1.1498,207.875,4.126,39.338,51.751,0.301,303.391,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition weighted --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,weighted,on,1680000,14312537,13417213,1.0020,1.1307,206.158,4.598,42.441,53.710,0.330,307.237,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition weighted --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,light,on,1680000,14312537,13418822,1.0044,1.1488,224.961,0.466,46.311,54.857,7.240,333.836,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition light --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,light,on,1680000,14312537,13418822,1.0044,1.1065,228.316,0.579,45.366,52.746,7.170,334.176,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition light --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,light,on,1680000,14312537,13418822,1.0044,1.2358,224.227,0.477,45.354,55.615,6.429,332.102,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition light --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hybrid,on,1680000,14312537,13417213,1.0020,1.1417,223.128,4.940,44.863,57.128,0.238,330.297,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hybrid --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hybrid,on,1680000,14312537,13417213,1.0020,1.1913,235.186,5.115,46.364,54.718,0.342,341.725,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hybrid --print-hours 0 --verify --csv"
order,medium_shuffled,20160000,mr,16,16,hybrid,on,1680000,14312537,13417213,1.0020,1.1022,229.376,4.991,45.356,53.093,0.288,333.103,4461579235480396692,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in data/traffic_medium_shuffled.csv --partition hybrid --print-hours 0 --verify --csv"
