experiment,scenario,run,backend,threads,block,cost,rebalance,city,link_cells,ticks,spawned,exited,parked,active,wall_ms,ms_per_tick,real_time_ratio,phase_a_ms,phase_b_ms,sync_ms,imbalance,window_imbalance,migration,repartitions,compile_ms,write_ms,state,sensor,exit,max_rss_kb,command
scaling,S,1,static,10,64,-,0,32x32,32,1800,106651,27612,76433,2606,66.380,0.03688,27116.7,30.338,33.422,3.128,1.8689,1.6237,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 10"
scaling,S,2,static,10,64,-,0,32x32,32,1800,106651,27612,76433,2606,61.848,0.03436,29103.6,28.282,30.872,2.129,1.8297,1.6000,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 10"
scaling,S,3,static,10,64,-,0,32x32,32,1800,106651,27612,76433,2606,63.047,0.03503,28550.1,29.346,30.928,2.655,1.8262,1.5608,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 10"
scaling,S,4,static,10,64,-,0,32x32,32,1800,106651,27612,76433,2606,65.434,0.03635,27508.8,30.814,32.022,2.575,1.8632,1.6384,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7724,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 10"
scaling,S,5,static,10,64,-,0,32x32,32,1800,106651,27612,76433,2606,61.507,0.03417,29264.9,27.813,31.178,2.225,1.7924,1.6000,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7732,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 10"
scaling,S,1,static,12,64,-,0,32x32,32,1800,106651,27612,76433,2606,64.487,0.03583,27912.7,29.986,31.635,2.725,2.0092,1.8278,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7628,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 12"
scaling,S,2,static,12,64,-,0,32x32,32,1800,106651,27612,76433,2606,64.704,0.03595,27819.1,29.572,31.959,3.313,1.9868,1.7735,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 12"
scaling,S,3,static,12,64,-,0,32x32,32,1800,106651,27612,76433,2606,63.069,0.03504,28540.3,29.272,30.803,2.395,1.9568,1.7413,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 12"
scaling,S,4,static,12,64,-,0,32x32,32,1800,106651,27612,76433,2606,65.966,0.03665,27286.9,30.603,32.110,2.594,2.0095,1.7379,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 12"
scaling,S,5,static,12,64,-,0,32x32,32,1800,106651,27612,76433,2606,67.560,0.03753,26643.2,32.172,32.240,3.132,2.0328,1.8519,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7712,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 12"
